location	Ramallah	#5E1D9D
location	Salfit	#5D1D9E
location	Qalqilya	#5B1D9F
location	Tulkarem	#5A1DA0
location	Gilgit	#581DA2
location	Mumbai	#571EA3
location	Kodinar	#561EA4
location	Sutrapada	#541EA5
location	Veraval	#531EA7
location	Talala	#511EA8
location	Mahuva	#501EA9
location	Bardoli	#4F1FAA
location	Surat	#4E20AB
location	Mandvi	#4E21AC
location	Adajan	#4D21AD
location	Kamrej	#4D22AE
location	Choryasi	#4C23AF
location	Olpad	#4C24B0
location	Junagadh	#4B25B1
location	Mangrol	#4B26B1
location	Ghogha	#4A27B2
location	Bharuch	#4A28B3
location	Jetpur	#4929B4
location	Gondal	#492AB5
location	Kalyanpur	#482BB6
location	Botad	#472CB7
location	Khambhaliya	#472DB8
location	Bodeli	#462EB9
location	Rajkot	#462FBA
location	Vadodara	#4530BB
location	Dhandhuka	#4531BC
location	Jamnagar	#4432BD
location	Chuda	#4433BE
location	Anand	#4334BE
location	Savli	#4335BF
location	Nadiad	#4236C0
location	Dholka	#4237C1
location	Kheda	#4137C2
location	Godhra	#4138C3
location	Mahemdavad	#4039C4
location	Limkheda	#403BC5
location	Dahod	#403CC5
location	Savali	#403DC5
location	Daskroi	#403EC6
location	Kapadvanj	#403FC6
location	Ahmedabad	#4041C7
location	Dahegam	#4042C7
location	Diu	#3F43C7
location	Gandhinagar	#3F44C8
location	Bayad	#3F45C8
location	Kalol	#3F47C9
location	Bhuj	#3F48C9
location	Kadi	#3F49CA
location	Dhansura	#3F4ACA
location	Talod	#3F4BCA
location	Prantij	#3F4DCB
location	Modasa	#3F4ECB
location	Himatnagar	#3F4FCC
location	Mehsana	#3F50CC
location	Patan	#3F51CC
location	Siddhpur	#3F53CD
location	Fatepura	#3F54CD
location	Khedbrahma	#3F55CE
location	Palanpur	#3F56CE
location	Dhanera	#3E57CE
location	Cox's Bazar	#3E59CF
location	Noakhali	#3E5ACF
location	Rangamati	#3E5BD0
location	Lakshmipur	#3E5CD0
location	Chandpur	#3E5DD0
location	Brahmanbaria	#3F5FD0
location	Jashore	#3F60D0
location	Jhenaidah	#3F61D0
location	Faridpur	#3F62CF
location	Tangail	#3F63CF
location	Narayanganj	#4064CF
location	Habiganj	#4065CF
location	Chengdu	#4066CF
location	Huaihua	#4067CF
location	Shaoyang	#4069CF
location	Wuhan	#416ACF
location	Guangzhou	#416BCF
location	Shenzhen	#416CCE
location	Fuyang	#416DCE
location	Changzhou	#416ECE
location	Hangzhou	#426FCE
location	Hong Kong	#4270CE
location	Waitemata	#4271CE
location	Counties Manukau	#4273CE
location	Hutt Valley	#4274CE
location	Melbourne	#4375CD
location	Rota	#4376CD
location	Donostia-San Sebastian	#4377CD
location	Valencia ES	#4378CD
location	London	#4379CD
location	Limoges	#447ACD
location	Nootdorp	#447BCD
location	Rotterdam	#447CCC
location	Hardinxveld Giessendam	#447DCC
location	Haarlem	#457ECB
location	Diemen	#457FCB
location	Naarden	#4580CA
location	Houten	#4681CA
location	Eindhoven	#4682C9
location	Helmond	#4683C9
location	Milheeze	#4783C8
location	Oisterwijk	#4784C7
location	Tilburg	#4885C7
location	Berlicum	#4886C6
location	Oss	#4887C6
location	Nieuwendijk	#4988C5
location	Andel	#4989C5
location	Blaricum	#498AC4
location	Zeewolde	#4A8AC4
location	Coevorden	#4A8BC3
location	Dalen	#4A8CC2
location	Heinsberg	#4B8DC2
location	Duesseldorf	#4B8EC1
location	Cologne	#4B8FC1
location	Frankfurt	#4C90C0
location	Nuoro	#4C91C0
location	Milan	#4C92BF
location	Siena	#4D92BE
location	Palermo	#4D93BE
location	Bari	#4E94BD
location	Brindisi	#4E95BD
location	Lecce	#4E96BC
location	Mondsee	#4F96BB
location	Zell Am Moos	#4F97BA
location	Fornach	#5098BA
location	Vöcklamarkt	#5098B9
location	St. Georgen Im Attergau	#5199B8
location	Frankenburg Am Hausruck	#5199B7
location	Attersee	#529AB6
location	Weyregg Am Attersee	#529BB5
location	Schörfling Am Attersee	#539BB5
location	Timelkam	#539CB4
location	Bad Goisern	#549DB3
location	Bad Ischl	#549DB2
location	Vöcklabruck	#559EB1
location	Regau	#559EB0
location	Neukirchen	#569FB0
location	Attnang-Puchheim	#56A0AF
location	Altmünster	#57A0AE
location	Schwanenstadt	#57A1AD
location	Ohlsdorf	#58A2AC
location	Gmunden	#58A2AB
location	Laakirchen	#58A3AB
location	Graz	#59A3AA
location	Novi Pazar	#59A4A9
location	Kraljevo	#5AA5A8
location	Uzice	#5AA5A7
location	Sremska Mitrovica	#5BA6A6
location	Pancevo	#5BA7A6
location	Vrsac	#5CA7A5
location	Zrenjanin	#5CA8A4
location	Backa Palanka	#5DA8A3
location	Srbobran	#5EA8A2
location	Novi Sad	#5EA9A1
location	Titel	#5FA9A0
location	Backa Topola	#60AA9F
location	Subotica	#60AA9E
location	Strpce	#61AA9D
location	Lipljan	#61AB9C
location	Gracanica	#62AB9B
location	Manaus	#63AC9A
location	Chiclayo	#63AC9A
location	Tijuana	#64AC99
location	Mexicali	#64AD98
