location	Changuinola	#5E1D9D
location	Chitre	#5B1D9F
location	El Calabacito	#581DA2
location	Aguadulce PA	#551EA4
location	Barrios Unidos	#521EA7
location	Chiguiri Arriba	#501EA9
location	El Valle	#4E20AB
location	Llano Norte	#4D22AD
location	Las Tablas	#4C24AF
location	Cristobal	#4B26B1
location	Juan Demóstenes Arosemena	#4A28B3
location	San Jose San Carlos	#492AB5
location	Betania PA	#482CB7
location	Chilibre	#472DB8
location	Don Bosco	#462FBA
location	Omar Torrijos	#4431BC
location	Pacora	#4333BE
location	Pedregal	#4235C0
location	Santa Ana PA	#4137C2
location	Meteti	#4039C4
location	Santa Fe PA	#403CC5
location	Aligandí	#403EC6
location	Nargana	#4040C7
location	Bagaces	#3F43C7
location	La Cruz CR	#3F45C8
location	Liberia	#3F48C9
location	Santa Cruz CR	#3F4ACA
location	Corredores	#3F4DCB
location	Garabito	#3F4FCC
location	Puntarenas	#3F52CD
location	Quepos	#3F54CD
location	Alajuela	#3F57CE
location	Guatuso	#3E59CF
location	Quesada	#3E5CD0
location	San Rafael de Alajuela	#3F5ED0
location	San Ramon CR	#3F60D0
location	Barva	#3F62CF
location	Heredia	#4065CF
location	San Isidro (Heredia)	#4067CF
location	San Rafael Heredia	#4169CF
location	Santo Domingo CR	#416CCE
location	Acosta	#416ECE
location	Aserri	#4270CE
location	Desamparados	#4272CE
location	Mora	#4375CD
location	Moravia	#4377CD
location	San Jose	#4379CD
location	Tarrazu	#447BCD
location	Alvarado	#447DCC
location	El Tejar	#457FCB
location	Jimenez	#4681CA
location	La Union CR	#4783C8
location	Occidental	#4785C7
location	Oreamuno	#4886C6
location	Rio Azul CR	#4988C5
location	Guapiles	#498AC4
location	Limon	#4A8CC3
location	Pococi	#4B8DC2
location	Siquirres	#4C8FC0
location	Ilopango	#4C91BF
location	San Salvador	#4D93BE
location	Concepción	#4E95BD
location	El Tumbador	#4F96BC
location	San Lorenzo GT	#5097BA
location	San Miguel GT	#5199B8
location	Coatepeque	#529AB6
location	Quetzaltenango	#539BB5
location	Huehuetenango	#549CB3
location	Santa Eulalia	#559EB1
location	San Francisco El Alto	#569FB0
location	Totonicapán	#57A0AE
location	Pueblo Nuevo GT	#58A2AC
location	Chimaltenango	#59A3AB
location	Patzicia	#59A4A9
location	Zaragoza GT	#5AA5A7
location	Escuintla	#5BA7A5
location	Antigua Guatemala	#5DA8A4
location	San Lucas	#5EA9A2
location	Santiago Sacatepequez	#5FA9A0
